-1	482579
-10	11072
-100	50
-101	55
-102	56
-103	58
-104	46
-105	37
-106	50
-107	47
-108	50
-109	44
-11	9142
-110	54
-111	46
-112	41
-113	31
-114	36
-115	32
-116	31
-117	37
-118	44
-119	33
-12	7787
-120	39
-121	27
-122	35
-123	31
-124	28
-125	44
-126	33
-127	24
-128	18
-129	23
-13	6453
-130	27
-131	24
-132	30
-133	27
-134	24
-135	24
-136	19
-137	20
-138	21
-139	18
-14	5555
-140	20
-141	17
-142	14
-143	23
-144	16
-145	13
-146	11
-147	12
-148	18
-149	13
-15	4860
-150	18
-151	14
-152	13
-153	12
-154	13
-155	12
-156	9
-157	17
-158	10
-159	8
-16	4272
-160	10
-161	8
-162	9
-163	11
-164	14
-165	11
-166	11
-167	7
-168	7
-169	11
-17	3809
-170	12
-171	14
-172	6
-173	8
-174	7
-175	9
-176	11
-177	11
-178	6
-179	7
-18	3405
-180	7
-181	5
-182	13
-183	8
-184	10
-185	7
-186	6
-187	7
-188	2
-189	5
-19	2988
-190	7
-191	1
-192	12
-193	3
-194	7
-195	5
-196	5
-197	6
-198	4
-199	8
-2	180814
-20	2722
-200	6
-201	3
-202	3
-203	4
-204	3
-205	5
-206	2
-207	6
-208	5
-209	5
-21	2415
-210	8
-211	6
-212	5
-213	2
-214	1
-215	2
-216	4
-218	2
-219	5
-22	2173
-220	2
-221	4
-222	3
-223	2
-224	5
-225	4
-226	3
-227	2
-228	1
-229	2
-23	2039
-230	3
-231	10
-232	3
-233	5
-234	5
-235	3
-236	4
-237	1
-238	3
-239	2
-24	1852
-240	1
-241	2
-242	2
-243	2
-244	2
-245	4
-246	1
-247	1
-248	2
-249	1
-25	1742
-250	2
-251	5
-252	1
-253	3
-254	2
-255	2
-257	1
-259	1
-26	1596
-261	1
-262	5
-263	2
-264	1
-265	3
-266	2
-267	1
-268	4
-269	2
-27	1537
-271	2
-272	1
-273	3
-274	1
-275	1
-278	2
-279	4
-28	1343
-280	1
-281	2
-282	2
-283	3
-284	1
-286	1
-287	1
-288	1
-289	1
-29	1254
-290	1
-291	1
-294	1
-297	2
-299	1
-3	95977
-30	1175
-302	1
-303	2
-304	1
-306	1
-308	1
-309	1
-31	1098
-310	1
-311	1
-313	2
-314	1
-315	2
-316	2
-317	1
-318	3
-32	1009
-321	1
-323	1
-324	1
-327	1
-33	927
-333	1
-334	1
-335	1
-337	1
-34	912
-343	2
-344	2
-345	1
-348	2
-35	783
-351	1
-355	1
-356	2
-358	2
-36	761
-360	1
-365	1
-368	4
-369	1
-37	714
-372	1
-376	1
-377	1
-38	678
-385	1
-387	1
-39	634
-390	2
-394	1
-397	1
-4	59293
-40	631
-400	1
-406	1
-41	562
-414	1
-415	1
-42	521
-424	1
-43	536
-44	520
-442	1
-45	423
-46	478
-47	446
-473	1
-48	430
-485	1
-49	358
-5	40367
-50	373
-502	1
-51	355
-52	292
-528	1
-53	308
-54	304
-55	295
-56	274
-57	269
-58	240
-59	267
-6	28991
-60	227
-61	233
-62	243
-63	210
-64	201
-65	166
-66	155
-67	155
-68	198
-686	1
-69	152
-7	21703
-70	158
-71	156
-72	150
-73	126
-74	120
-75	99
-76	133
-77	128
-78	111
-79	110
-8	16575
-80	126
-81	87
-82	113
-83	90
-84	80
-85	86
-86	95
-87	72
-88	90
